Player,Team,Pos,Injury,Status,Est. Return
Saquan Hampton,FA,S,Achilles,Questionable,Subscribers Only
Da'Shawn Hand,TEN,DT,Quadriceps,IR,Subscribers Only
Chase Hansen,NO,LB,Knee,IR,Subscribers Only
Jake Hanson,GB,C,Biceps,IR,Subscribers Only
Tre Harbison,FA,RB,Concussion,Questionable,Subscribers Only
Mecole Hardman,KC,WR,Abdomen,Out,Subscribers Only
Daniel Hardy,LAR,LB,Ankle,IR,Subscribers Only
Devin Harper,DAL,LB,Achilles,IR,Subscribers Only
Clark Harris,CIN,C,Biceps,IR,Subscribers Only
Damien Harris,NE,RB,Illness,Questionable,Subscribers Only
Dwayne Harris,FA,WR,Triceps,Questionable,Subscribers Only
Erik Harris,ATL,S,Foot,Inactive,Subscribers Only
Nick Harris,CLE,C,Knee,IR,Subscribers Only
Trent Harris,FA,LB,Undisclosed,Questionable,Subscribers Only
Montre Hartage,FA,S,Undisclosed,Questionable,Subscribers Only
Deonte Harty,NO,WR,Foot,IR,Subscribers Only
Kolby Harvell-Peel,FA,S,Hamstring,Questionable,Subscribers Only
Jerald Hawkins,FA,OT,Undisclosed,Questionable,Subscribers Only
Daelin Hayes,BAL,LB,Undisclosed,IR,Subscribers Only
Marquis Hayes,ARI,OG,Knee,IR,Subscribers Only
Casey Hayward,ATL,CB,Shoulder,IR,Subscribers Only
Joel Heath,FA,DE,Knee - ACL,Questionable,Subscribers Only
Matt Hennessy,ATL,OG,Knee,IR,Subscribers Only
Thomas Hennigan,MIN,WR,Undisclosed,IR,Subscribers Only
Will Hernandez,ARI,OG,Chest,IR,Subscribers Only
Chandon Herring,FA,OG,Undisclosed,Questionable,Subscribers Only
Frank Herron,FA,DE,Undisclosed,Questionable,Subscribers Only
Justin Herron,LV,OT,Knee,IR,Subscribers Only
Neville Hewitt,HOU,LB,Hamstring,Out,Subscribers Only
Rashard Higgins,CAR,WR,Illness,Inactive,Subscribers Only
Dax Hill,CIN,S,Shoulder,Questionable,Subscribers Only
Mike Hilton,CIN,CB,Finger,Questionable,Subscribers Only
Chasen Hines,NE,OG,Undisclosed,IR,Subscribers Only
Kendall Hinton,DEN,WR,Illness,Questionable,Subscribers Only
Nate Hobbs,LV,CB,Hand,IR,Subscribers Only
Jared Hocker,FA,OG,Undisclosed,Questionable,Subscribers Only
Darius Hodge,FA,LB,Undisclosed,Questionable,Subscribers Only
Curtis Hodges,WAS,TE,Thigh,IR,Subscribers Only
Cole Holcomb,WAS,LB,Foot,Out,Subscribers Only
Elijah Holyfield,CIN,RB,Knee,IR,Subscribers Only
Amani Hooker,TEN,S,Shoulder,Out,Subscribers Only
Dustin Hopkins,LAC,K,Hamstring,Out,Subscribers Only
Bug Howard,FA,TE,Undisclosed,Questionable,Subscribers Only
Travin Howard,LAR,LB,Hip,Out,Subscribers Only
Brian Hoyer,NE,QB,Concussion,IR,Subscribers Only
Jonathan Hubbard,FA,OT,Undisclosed,Questionable,Subscribers Only
Rodney Hudson,ARI,C,Knee,Out,Subscribers Only
Tommy Hudson,FA,TE,Undisclosed,Questionable,Subscribers Only
Albert Huggins,NO,DT,Undisclosed,IR,Subscribers Only
Jake Hummel,LAR,LB,Hip,IR,Subscribers Only
D.J. Humphries,ARI,OT,Back,Questionable,Subscribers Only
Jalen Hurd,FA,WR,Knee,Questionable,Subscribers Only
Allen Hurns,FA,WR,Wrist,Questionable,Subscribers Only
John Hurst,FA,WR,Ankle,Questionable,Subscribers Only
Maurice Hurst,SF,DT,Biceps,IR,Subscribers Only
Carlos Hyde,FA,RB,Concussion,Questionable,Subscribers Only
Micah Hyde,BUF,S,Neck,IR,Subscribers Only
Ishmael Hyman,FA,WR,Undisclosed,Questionable,Subscribers Only
George Iloka,FA,S,Knee - ACL,Questionable,Subscribers Only
Mark Ingram,NO,RB,Knee - MCL,Out,Subscribers Only
Matt Ioannidis,CAR,DT,Calf,Questionable,Subscribers Only
Isaiah Irving,FA,LB,Back,Questionable,Subscribers Only
Daniel Isom,FA,S,Undisclosed,Questionable,Subscribers Only
Thomas Ives,FA,WR,Undisclosed,Questionable,Subscribers Only
Alaric Jackson,LAR,OT,Knee,Doubtful,Subscribers Only
Austin Jackson,MIA,OT,Ankle,Questionable,Subscribers Only
Branden Jackson,FA,DE,Spine,Questionable,Subscribers Only
Chris Jackson,TEN,CB,Undisclosed,IR,Subscribers Only
D'Marco Jackson,NO,LB,Undisclosed,IR,Subscribers Only
Deon Jackson,IND,RB,Knee,Out,Subscribers Only
DeSean Jackson,BAL,WR,Hamstring,Questionable,Subscribers Only
Donte Jackson,CAR,CB,Achilles,Out,Subscribers Only
J.C. Jackson,LAC,CB,Kneecap,IR,Subscribers Only
Tyree Jackson,PHI,TE,Knee - ACL,PUP-R,Subscribers Only
Warren Jackson,FA,WR,Undisclosed,Questionable,Subscribers Only
William Jackson,PIT,CB,Back,Out,Subscribers Only
Brenden Jaimes,LAC,OT,Shoulder,Questionable,Subscribers Only
Ja'Wuan James,BAL,OT,Achilles,IR,Subscribers Only
Jesse James,CLE,TE,Biceps,IR,Subscribers Only
Kevin Jarvis,FA,OG,Undisclosed,Questionable,Subscribers Only
Blake Jarwin,FA,TE,Hip,Questionable,Subscribers Only
Shemar Jean-Charles,GB,CB,Ankle,Out,Subscribers Only
Tony Jefferson,NYG,S,Foot,IR,Subscribers Only
Jalen Jelks,FA,DE,Undisclosed,Questionable,Subscribers Only
Jordan Jenkins,LV,DE,Knee - ACL,IR,Subscribers Only
Rayshawn Jenkins,JAX,S,Concussion,Questionable,Subscribers Only
Teven Jenkins,CHI,OG,Hip,Questionable,Subscribers Only
Gary Jennings,FA,WR,Concussion,Questionable,Subscribers Only
Ryan Jensen,TB,C,Knee,IR,Subscribers Only
Josh Jobe,PHI,CB,Hamstring,Questionable,Subscribers Only
Austin Johnson,LAC,DT,Knee - MCL,IR,Subscribers Only
Bisi Johnson,MIN,WR,Knee - ACL,IR,Subscribers Only
Collin Johnson,NYG,WR,Achilles,IR,Subscribers Only
Darryl Johnson,SEA,LB,Ankle,IR,Subscribers Only
Jahmir Johnson,FA,OT,Undisclosed,Questionable,Subscribers Only
Jaylon Johnson,CHI,CB,Oblique,Questionable,Subscribers Only
Josh Johnson,FA,RB,Undisclosed,Questionable,Subscribers Only
Willie Johnson,JAX,WR,Undisclosed,IR,Subscribers Only
Brandon Jones,MIA,S,Knee,IR,Subscribers Only
Brett Jones,FA,C,Biceps,Questionable,Subscribers Only
Byron Jones,MIA,CB,Achilles,PUP-R,Subscribers Only
Caleb Jones,GB,OT,Illness,NFI-R,Subscribers Only
Chris Jones,FA,P,Abdomen,Questionable,Subscribers Only
