p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,week,year,plyr_number
lukefortner_jax_2022_10,jax_2022_10,lukefortner_jax_2022,jax_2022,lukefortner,42028,ol,jax,1,0,15,53.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
tylershatley_jax_2022_10,jax_2022_10,tylershatley_jax_2022,jax_2022,tylershatley,9257,g,jax,1,0,15,63.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
bradleybozeman_car_2022_10,car_2022_10,bradleybozeman_car_2022,car_2022,bradleybozeman,27934,ol,car,1,0,5,66.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
bobbyevans_lar_2022_10,lar_2022_10,bobbyevans_lar_2022,lar_2022,bobbyevans,36800,g,lar,1,0,26,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
brandonscherff_jax_2022_10,jax_2022_10,brandonscherff_jax_2022,jax_2022,brandonscherff,9438,g,jax,1,0,15,81.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
kenyongreen_hou_2022_10,hou_2022_10,kenyongreen_hou_2022,hou_2022,kenyongreen,99052,g,hou,1,0,13,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
ajcann_hou_2022_10,hou_2022_10,ajcann_hou_2022,hou_2022,ajcann,9500,g,hou,1,0,13,62.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
tytushoward_hou_2022_10,hou_2022_10,tytushoward_hou_2022,hou_2022,tytushoward,25472,t,hou,1,0,13,63.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
laremytunsil_hou_2022_10,hou_2022_10,laremytunsil_hou_2022,hou_2022,laremytunsil,10647,t,hou,1,0,13,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
scottquessenberry_hou_2022_10,hou_2022_10,scottquessenberry_hou_2022,hou_2022,scottquessenberry,23918,ol,hou,1,0,13,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
zachtom_gb_2022_10,gb_2022_10,zachtom_gb_2022,gb_2022,zachtom,55443,g,gb,1,0,12,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
connormcgovern_nyj_2022_10,nyj_2022_10,connormcgovern_nyj_2022,nyj_2022,connormcgovern,10778,ol,nyj,1,0,22,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
lakentomlinson_nyj_2022_10,nyj_2022_10,lakentomlinson_nyj_2022,nyj_2022,lakentomlinson,9461,g,nyj,1,0,22,85.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
cedricogbuehi_nyj_2022_10,nyj_2022_10,cedricogbuehi_nyj_2022,nyj_2022,cedricogbuehi,9454,t,nyj,1,0,22,63.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
nateherbig_nyj_2022_10,nyj_2022_10,nateherbig_nyj_2022,nyj_2022,nateherbig,28844,g,nyj,1,0,22,66.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
duanebrown_nyj_2022_10,nyj_2022_10,duanebrown_nyj_2022,nyj_2022,duanebrown,4340,t,nyj,1,0,22,87.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
