p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,week,year,plyr_number
adrianphillips_ne_2022_15,ne_2022_15,adrianphillips_ne_2022,ne_2022,adrianphillips,9177,s,ne,1,3,3.0,3.0,0,0,0,0,0,0,0,0,0,15,2022,15
marcusepps_phi_2022_15,phi_2022_15,marcusepps_phi_2022,phi_2022,marcusepps,51391,s,phi,1,5,2.5,2.5,0,0,0,0,0,0,0,0,0,15,2022,15
azeezalshaair_sf_2022_15,sf_2022_15,azeezalshaair_sf_2022,sf_2022,azeezalshaair,49792,lb,sf,1,5,2.5,2.5,0,0,0,0,0,0,0,0,0,15,2022,15
blakecashman_hou_2022_15,hou_2022_15,blakecashman_hou_2022,hou_2022,blakecashman,35413,lb,hou,1,6,2.0,2.0,0,0,0,0,0,0,0,0,0,15,2022,15
kadenelliss_no_2022_15,no_2022_15,kadenelliss_no_2022,no_2022,kadenelliss,51485,lb,no,1,4,2.0,2.0,0,0,0,0,0,0,0,0,0,15,2022,15
deommodorelenoir_sf_2022_15,sf_2022_15,deommodorelenoir_sf_2022,sf_2022,deommodorelenoir,55686,cb,sf,1,2,2.0,2.0,0,0,0,0,0,0,0,0,0,15,2022,15
nicholasmorrow_chi_2022_15,chi_2022_15,nicholasmorrow_chi_2022,chi_2022,nicholasmorrow,51674,lb,chi,1,2,2.0,2.0,0,0,0,0,0,0,0,0,0,15,2022,15
mattmilano_buf_2022_15,buf_2022_15,mattmilano_buf_2022,buf_2022,mattmilano,11918,lb,buf,1,6,2.0,2.0,0,0,0,0,0,0,0,0,0,15,2022,15
joshuawilliams_kc_2022_15,kc_2022_15,joshuawilliams_kc_2022,kc_2022,joshuawilliams,156083,cb,kc,1,2,2.0,2.0,0,0,0,0,0,0,0,0,0,15,2022,15
trayvonmullen_ari_2022_15,ari_2022_15,trayvonmullen_ari_2022,ari_2022,trayvonmullen,41968,cb,ari,1,2,2.0,2.0,0,0,0,0,0,0,0,0,0,15,2022,15
duronharmon_lv_2022_15,lv_2022_15,duronharmon_lv_2022,lv_2022,duronharmon,7872,s,lv,1,3,1.5,1.5,0,0,0,0,0,0,0,0,0,15,2022,15
danejackson_buf_2022_15,buf_2022_15,danejackson_buf_2022,buf_2022,danejackson,32989,cb,buf,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,15,2022,15
jaylonsmith_nyg_2022_15,nyg_2022_15,jaylonsmith_nyg_2022,nyg_2022,jaylonsmith,10668,lb,nyg,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,15,2022,15
desmondkingii_hou_2022_15,hou_2022_15,desmondkingii_hou_2022,hou_2022,desmondkingii,11906,cb,hou,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,15,2022,15
arthurmaulet_pit_2022_15,pit_2022_15,arthurmaulet_pit_2022,pit_2022,arthurmaulet,12224,cb,pit,1,1,,1.0,0,0,0,0,0,0,0,0,0,15,2022,15
nasiradderley_lac_2022_15,lac_2022_15,nasiradderley_lac_2022,lac_2022,nasiradderley,33880,s,lac,1,5,,5.0,0,0,0,0,0,0,0,0,0,15,2022,15
jordanhicks_min_2022_15,min_2022_15,jordanhicks_min_2022,min_2022,jordanhicks,9517,lb,min,1,8,,8.0,0,0,0,0,0,0,0,0,0,15,2022,15
ajterrell_atl_2022_15,atl_2022_15,ajterrell_atl_2022,atl_2022,ajterrell,55586,cb,atl,1,3,,3.0,0,0,0,0,0,0,0,0,0,15,2022,15
