p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception,week,year,plyr_number
jaylonjones_chi_2022_15,chi_2022_15,jaylonjones_chi_2022,chi_2022,jaylonjones,49374,cb,chi,1,2,14.3,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
dannyjohnson_was_2022_15,was_2022_15,dannyjohnson_was_2022,was_2022,dannyjohnson,49379,cb,was,1,0,9.3,77.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
cameronlewis_buf_2022_15,buf_2022_15,cameronlewis_buf_2022,buf_2022,cameronlewis,49395,s,buf,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
julianblackmon_ind_2022_15,ind_2022_15,julianblackmon_ind_2022,ind_2022,julianblackmon,49434,s,ind,1,0,10.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
rockyasin_lv_2022_15,lv_2022_15,rockyasin_lv_2022,lv_2022,rockyasin,49564,cb,lv,1,0,10.4,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
markusbailey_cin_2022_15,cin_2022_15,markusbailey_cin_2022,cin_2022,markusbailey,49681,lb,cin,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
zairefranklin_ind_2022_15,ind_2022_15,zairefranklin_ind_2022,ind_2022,zairefranklin,49834,lb,ind,1,0,12.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
rashaanevans_atl_2022_15,atl_2022_15,rashaanevans_atl_2022,atl_2022,rashaanevans,50213,lb,atl,1,0,1.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
isaiaholiver_atl_2022_15,atl_2022_15,isaiaholiver_atl_2022,atl_2022,isaiaholiver,50393,cb,atl,1,1,20.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
brandonfacyson_ind_2022_15,ind_2022_15,brandonfacyson_ind_2022,ind_2022,brandonfacyson,50564,cb,ind,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
