p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,week,year,plyr_number
jaredgoff_det_2022_15,det_2022_15,jaredgoff_det_2022,det_2022,jaredgoff,10635,qb,det,1,67.6,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
jacobybrissett_cle_2022_15,cle_2022_15,jacobybrissett_cle_2022,cle_2022,jacobybrissett,10725,qb,cle,1,66.7,30,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
justinherbert_lac_2022_15,lac_2022_15,justinherbert_lac_2022,lac_2022,justinherbert,28237,qb,lac,1,84.8,33,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
jameiswinston_no_2022_15,no_2022_15,jameiswinston_no_2022,no_2022,jameiswinston,9434,qb,no,1,77.4,31,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
aaronrodgers_gb_2022_15,gb_2022_15,aaronrodgers_gb_2022,gb_2022,aaronrodgers,2241,qb,gb,1,80.0,30,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
tuatagovailoa_mia_2022_15,mia_2022_15,tuatagovailoa_mia_2022,mia_2022,tuatagovailoa,60326,qb,mia,1,77.4,31,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
ryantannehill_ten_2022_15,ten_2022_15,ryantannehill_ten_2022,ten_2022,ryantannehill,7014,qb,ten,1,80.0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
jalenhurts_phi_2022_15,phi_2022_15,jalenhurts_phi_2022,phi_2022,jalenhurts,40291,qb,phi,1,83.3,24,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
kirkcousins_min_2022_15,min_2022_15,kirkcousins_min_2022,min_2022,kirkcousins,7102,qb,min,1,88.5,26,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
joshallen_buf_2022_15,buf_2022_15,joshallen_buf_2022,buf_2022,joshallen,46601,qb,buf,1,87.1,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
macjones_ne_2022_15,ne_2022_15,macjones_ne_2022,ne_2022,macjones,60323,qb,ne,1,72.4,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
lamarjackson_bal_2022_15,bal_2022_15,lamarjackson_bal_2022,bal_2022,lamarjackson,46416,qb,bal,1,67.9,28,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
dakprescott_dal_2022_15,dal_2022_15,dakprescott_dal_2022,dal_2022,dakprescott,10769,qb,dal,1,55.6,27,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
genosmith_sea_2022_15,sea_2022_15,genosmith_sea_2022,sea_2022,genosmith,7820,qb,sea,1,88.5,26,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
tombrady_tb_2022_15,tb_2022_15,tombrady_tb_2022,tb_2022,tombrady,698,qb,tb,1,70.4,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
bakermayfield_car_2022_15,car_2022_15,bakermayfield_car_2022,car_2022,bakermayfield,46518,qb,car,1,80.0,20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
danieljones_nyg_2022_15,nyg_2022_15,danieljones_nyg_2022,nyg_2022,danieljones,39395,qb,nyg,1,89.5,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
justinfields_chi_2022_15,chi_2022_15,justinfields_chi_2022,chi_2022,justinfields,82118,qb,chi,1,47.1,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
cooperrush_dal_2022_15,dal_2022_15,cooperrush_dal_2022,dal_2022,cooperrush,12324,qb,dal,1,66.7,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
jordanlove_gb_2022_15,gb_2022_15,jordanlove_gb_2022,gb_2022,jordanlove,40306,qb,gb,1,100.0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
tracemcsorley_ari_2022_15,ari_2022_15,tracemcsorley_ari_2022,ari_2022,tracemcsorley,32819,qb,ari,1,66.7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
