Player,Team,Pos,Injury,Status,Est. Return
Drew Estrada,FA,WR,Achilles,Out,Subscribers Only
Akayleb Evans,MIN,CB,Concussion,IR,Subscribers Only
Joshua Ezeudu,NYG,OG,Neck,IR,Subscribers Only
Jequez Ezzard,FA,WR,Undisclosed,Questionable,Subscribers Only
Noah Fant,SEA,TE,Knee,Questionable,Subscribers Only
Caleb Farley,TEN,CB,Back,IR,Subscribers Only
Matt Farniok,DAL,C,Hamstring,IR,Subscribers Only
Folorunso Fatukasi,JAX,DT,Ankle,Questionable,Subscribers Only
Simi Fehoko,DAL,WR,Shoulder,IR,Subscribers Only
Jake Ferguson,DAL,TE,Concussion,Questionable,Subscribers Only
Sharif Finch,FA,LB,Undisclosed,Questionable,Subscribers Only
B.J. Finney,FA,OG,Back,Questionable,Subscribers Only
Eric Fisher,MIA,OT,Calf,Questionable,Subscribers Only
John FitzPatrick,ATL,TE,Undisclosed,IR-R,Subscribers Only
Trey Flowers,MIA,LB,Foot,IR,Subscribers Only
Dee Ford,FA,DE,Back,Questionable,Subscribers Only
Rudy Ford,GB,S,Wrist,Questionable,Subscribers Only
L.J. Fort,FA,LB,Knee - ACL,Questionable,Subscribers Only
Jody Fortson,KC,TE,Elbow,Out,Subscribers Only
Mitchell Fraboni,DEN,C,Finger,IR,Subscribers Only
John Franklin,FA,WR,Knee - ACL,Questionable,Subscribers Only
Jordan Franks,FA,TE,Hand,Out,Subscribers Only
Jordan Fuller,LAR,S,Hamstring,IR,Subscribers Only
Kyle Fuller,BAL,CB,Knee - ACL,IR,Subscribers Only
Will Fuller,FA,WR,Finger,Questionable,Subscribers Only
Kristian Fulton,TEN,CB,Groin,Out,Subscribers Only
Tipa Galeai,GB,LB,Hamstring,IR,Subscribers Only
Max Garcia,ARI,C,Shoulder,Questionable,Subscribers Only
Jamell Garcia-Williams,FA,DE,Undisclosed,Questionable,Subscribers Only
C.J. Gardner-Johnson,PHI,S,Abdomen,IR,Subscribers Only
Ben Garland,FA,C,Calf,Questionable,Subscribers Only
Jimmy Garoppolo,SF,QB,Foot,Out,Subscribers Only
Rashan Gary,GB,LB,Knee - ACL,IR,Subscribers Only
Joe Gaziano,LAC,DE,Undisclosed,IR,Subscribers Only
Jake Gervase,LAR,LB,Ankle,Questionable,Subscribers Only
Cam Gill,TB,LB,Foot,IR,Subscribers Only
Cullen Gillaspia,SEA,LB,Knee,IR,Subscribers Only
Kevin Givens,SF,DT,Knee - MCL,Out,Subscribers Only
Jordan Glasgow,FA,LB,Undisclosed,Questionable,Subscribers Only
Markus Golden,ARI,LB,Ankle,Questionable,Subscribers Only
Matt Gono,FA,OT,Neck,Questionable,Subscribers Only
Zane Gonzalez,CAR,K,Groin,IR,Subscribers Only
Marquise Goodwin,SEA,WR,Ankle,Questionable,Subscribers Only
Jaeden Graham,FA,TE,Undisclosed,Questionable,Subscribers Only
Ta'Quon Graham,ATL,DE,Knee - MCL,IR,Subscribers Only
Kylen Granson,IND,TE,Ankle,Questionable,Subscribers Only
Jakeem Grant,CLE,WR,Achilles,IR,Subscribers Only
Kenyon Green,HOU,OG,Ankle,Out,Subscribers Only
Virgil Green,FA,TE,Ankle,Questionable,Subscribers Only
Raven Greene,FA,S,Undisclosed,Questionable,Subscribers Only
Ethan Greenidge,NO,OT,Knee,IR,Subscribers Only
Randy Gregory,DEN,LB,Knee,Questionable,Subscribers Only
Everson Griffen,FA,DE,Personal,Questionable,Subscribers Only
Shaquill Griffin,JAX,CB,Back,IR,Subscribers Only
Jonas Griffith,DEN,LB,Ankle,IR,Subscribers Only
