,feature,t_stat,t_stat_abs,rsqrd,adj_rsqrd,runNum
2226,rec_depth_center_deep_interceptions_rec_depth_fav,-1.889845953,1.891891903,0.080428686,0.00618481,100873.893
1978,rec_concept_screen_contested_receptions_rec_concept_dog,-1.885253994,1.887177771,0.080638569,0.005967549,99875.05854
1268,pass_depth_short_yards_passdepth_dog,-1.881947143,1.886703882,0.080956066,0.00640458,100893.7257
289,def_coverage_summary_touchdowns_def_cov_summ_fav,-1.88525545,1.88525545,0.080154442,0.006045195,99743.35779
1998,rec_concept_screen_pass_block_rate_rec_concept_dog,-1.865805681,1.865805681,0.081317367,0.006013236,100567.8076
2984,rec_depth_short_targets_percent_rec_depth_dog,-1.853367398,1.86466654,0.080635489,0.006240893,101499.6369
789,inj_plays_dl_fav,1.862304444,1.862716175,0.079931556,0.005930296,99081.93013
266,def_coverage_summary_missed_tackle_rate_def_cov_summ_dog,-1.861330349,1.861367867,0.080535175,0.005904424,100855.6498
2826,rec_depth_right_deepyprr_rec_depth_fav,1.833829331,1.860698708,0.080863036,0.006244226,100013.8601
985,pass_concept_no_screen_grades_run_pass_conc_dog,1.726292063,1.85718768,0.08034648,0.006204558,100853.3092
1081,pass_concept_screen_twp_rate_pass_conc_fav,-1.856876201,1.856876201,0.080515154,0.006011033,100252.6468
1205,pass_depth_medium_drops_passdepth_fav,-1.847169907,1.851614363,0.080427377,0.005852467,99912.52279
2740,rec_depth_right_behind_los_pass_block_rate_rec_depth_dog,1.838666473,1.844631856,0.08025509,0.006065315,98499.40164
3411,shuttle_passing_dog,1.842508776,1.842508776,0.079991501,0.005909919,101273.0519
3159,rec_summary_interceptions_rec_fav,-1.83932977,1.840108336,0.080081568,0.006141731,100480.3384
1580,pass_under_pressure_blitz_btt_rate_pass_pressure_fav,-1.837100726,1.837100726,0.080274792,0.00606808,101113.8552
1585,pass_under_pressure_blitz_def_gen_pressures_pass_pressure_dog,-1.827449856,1.836941504,0.079914816,0.006182374,99279.24261
2886,rec_depth_right_short_avoided_tackles_rec_depth_dog,1.830016544,1.836277336,0.080699039,0.006047005,99535.2221
402,def_summary_grades_defense_penalty_def_cov_dog,1.825210825,1.831258672,0.080858488,0.006103627,99998.00818
1389,pass_summary_sack_percent_passing_fav,-1.820590465,1.83065763,0.080808204,0.006314583,98552.7525
1606,pass_under_pressure_blitz_grades_pass_route_pass_pressure_fav,-1.830166861,1.830419995,0.079329174,0.00593215,99597.70442
445,def_summary_hurries_def_cov_fav,1.8189237,1.819853744,0.08059484,0.005691512,99213.89177
1611,pass_under_pressure_blitz_interceptions_pass_pressure_dog,-1.818340803,1.818415734,0.080521205,0.005983421,99363.9682
2074,rec_concept_slot_touchdowns_rec_concept_dog,1.81778264,1.81778264,0.080701078,0.005976728,100221.7615
254,def_coverage_summary_grades_defense_penalty_def_cov_summ_dog,1.816684735,1.817705068,0.08021604,0.005847949,99725.4111
278,def_coverage_summary_snap_counts_coverage_def_cov_summ_dog,1.815334209,1.815782705,0.080642371,0.006039786,100303.1344
1165,pass_depth_deep_passing_snaps_passdepth_fav,1.812051868,1.813482455,0.080353098,0.005868179,99009.1395
232,def_coverage_summary_catch_rate_def_cov_summ_dog,-1.806462311,1.806462311,0.080252542,0.005956814,101057.5788
3231,run_block_gap_snap_counts_run_play_run_block_fav,1.661558547,1.80106886,0.080180362,0.006073216,98638.12177
818,kicking_grades_fgep_kicker_dog,-1.798458452,1.798458452,0.080261083,0.005853456,99629.06865
277,def_coverage_summary_receptions_def_cov_summ_fav,-1.772165483,1.797510472,0.081161881,0.006251647,100530.3662
2041,rec_concept_slot_drop_rate_rec_concept_fav,-1.797332342,1.797332342,0.080141153,0.005729229,99589.68097
1802,pass_under_pressure_pressure_avg_depth_of_target_pass_pressure_fav,-1.795944355,1.795944355,0.080242739,0.005935926,100627.1738
2968,rec_depth_short_longest_rec_depth_dog,-1.783582543,1.792023641,0.080216596,0.005862292,100758.931
3229,run_block_gap_snap_counts_run_block_run_block_fav,1.598436556,1.791969582,0.080974044,0.006091465,100611.1688
2780,rec_depth_right_deepcontested_catch_rate_rec_depth_fav,1.775382424,1.790757775,0.080041741,0.005909355,100147.9969
3347,rush_summary_grades_pass_rush_fav,-1.789711397,1.789711397,0.080273771,0.005824323,100438.9393
2124,rec_depth_behind_los_route_rate_rec_depth_dog,1.788923675,1.788923675,0.079930317,0.005746362,99723.96739
1240,pass_depth_short_completion_percent_passdepth_dog,-1.784808171,1.784883533,0.080695733,0.00573439,100674.6882
1029,pass_concept_screen_btt_rate_pass_conc_fav,1.779015389,1.782460088,0.080441387,0.005857556,100301.9678
