p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,week,year,plyr_number
landondickerson_phi_2022_14,phi_2022_14,landondickerson_phi_2022,phi_2022,landondickerson,41712,g,phi,1,100.0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
joelbitonio_cle_2022_14,cle_2022_14,joelbitonio_cle_2022,cle_2022,joelbitonio,8670,g,cle,1,100.0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
hjaltefroholdt_cle_2022_14,cle_2022_14,hjaltefroholdt_cle_2022,cle_2022,hjaltefroholdt,44959,g,cle,1,100.0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jackconklin_cle_2022_14,cle_2022_14,jackconklin_cle_2022,cle_2022,jackconklin,10642,t,cle,1,100.0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
connormcgovern_dal_2022_14,dal_2022_14,connormcgovern_dal_2022,dal_2022,connormcgovern,41714,g,dal,1,100.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
koltonmiller_lv_2022_14,lv_2022_14,koltonmiller_lv_2022,lv_2022,koltonmiller,47013,t,lv,1,100.0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
alexbars_lv_2022_14,lv_2022_14,alexbars_lv_2022,lv_2022,alexbars,47018,g,lv,1,100.0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
andrejames_lv_2022_14,lv_2022_14,andrejames_lv_2022,lv_2022,andrejames,47058,ol,lv,1,100.0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jermaineeluemunor_lv_2022_14,lv_2022_14,jermaineeluemunor_lv_2022,lv_2022,jermaineeluemunor,11914,t,lv,1,100.0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
dylanparham_lv_2022_14,lv_2022_14,dylanparham_lv_2022,lv_2022,dylanparham,60953,g,lv,1,100.0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jedrickwillsjr_cle_2022_14,cle_2022_14,jedrickwillsjr_cle_2022,cle_2022,jedrickwillsjr,58467,t,cle,1,100.0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
georgefant_nyj_2022_14,nyj_2022_14,georgefant_nyj_2022,nyj_2022,georgefant,11282,t,nyj,1,100.0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
wyattteller_cle_2022_14,cle_2022_14,wyattteller_cle_2022,cle_2022,wyattteller,46131,g,cle,1,100.0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
cesarruiz_no_2022_14,no_2022_14,cesarruiz_no_2022,no_2022,cesarruiz,59857,g,no,1,100.0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
ryanramczyk_no_2022_14,no_2022_14,ryanramczyk_no_2022,no_2022,ryanramczyk,11787,t,no,1,100.0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
andruspeat_no_2022_14,no_2022_14,andruspeat_no_2022,no_2022,andruspeat,9446,g,no,1,100.0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
calvinthrockmorton_no_2022_14,no_2022_14,calvinthrockmorton_no_2022,no_2022,calvinthrockmorton,28238,g,no,1,100.0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jameshurst_no_2022_14,no_2022_14,jameshurst_no_2022,no_2022,jameshurst,9001,t,no,1,100.0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
tylersmith_dal_2022_14,dal_2022_14,tylersmith_dal_2022,dal_2022,tylersmith,98385,t,dal,1,100.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jawaantaylor_jax_2022_14,jax_2022_14,jawaantaylor_jax_2022,jax_2022,jawaantaylor,41665,t,jax,1,100.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
lukefortner_jax_2022_14,jax_2022_14,lukefortner_jax_2022,jax_2022,lukefortner,42028,ol,jax,1,100.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
treysmith_kc_2022_14,kc_2022_14,treysmith_kc_2022,kc_2022,treysmith,62960,g,kc,1,100.0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
andrewwylie_kc_2022_14,kc_2022_14,andrewwylie_kc_2022,kc_2022,andrewwylie,12333,t,kc,1,100.0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
orlandobrownjr_kc_2022_14,kc_2022_14,orlandobrownjr_kc_2022,kc_2022,orlandobrownjr,46227,t,kc,1,100.0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
nicholaspetitfrere_ten_2022_14,ten_2022_14,nicholaspetitfrere_ten_2022,ten_2022,nicholaspetitfrere,82003,t,ten,1,100.0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
aaronbrewer_ten_2022_14,ten_2022_14,aaronbrewer_ten_2022,ten_2022,aaronbrewer,46014,g,ten,1,100.0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
nickallegretti_kc_2022_14,kc_2022_14,nickallegretti_kc_2022,kc_2022,nickallegretti,39268,g,kc,1,100.0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
creedhumphrey_kc_2022_14,kc_2022_14,creedhumphrey_kc_2022,kc_2022,creedhumphrey,59996,ol,kc,1,100.0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
michaelonwenu_ne_2022_14,ne_2022_14,michaelonwenu_ne_2022,ne_2022,michaelonwenu,27357,g,ne,1,100.0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
davidandrews_ne_2022_14,ne_2022_14,davidandrews_ne_2022,ne_2022,davidandrews,9948,ol,ne,1,100.0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
colestrange_ne_2022_14,ne_2022_14,colestrange_ne_2022,ne_2022,colestrange,22976,g,ne,1,100.0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
kalebmcgary_atl_2022_14,atl_2022_14,kalebmcgary_atl_2022,atl_2022,kalebmcgary,46912,t,atl,1,100.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
colbygossett_atl_2022_14,atl_2022_14,colbygossett_atl_2022,atl_2022,colbygossett,46673,g,atl,1,100.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
