player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Greg Newsome II,83341,CB,CLV,1,0,8,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,6.7,2,30,1,25.0,0,0,1,0,100.0,2,1,25.0,0,0,0,0,0,0
Johnathan Abram,34646,S,LV,1,0,23,0,1,0,0,1,0,50.0,1,1,50.0,0,0,0,0,5.7,2,35,1,25.0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0,0
Donovan Wilson,49408,S,DAL,1,0,9,1,0,0,1,0,0,50.0,1,1,50.0,0,0,0,0,8.7,2,23,1,25.0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0,0
Devin Bush,27375,LB,PIT,1,0,25,0,1,0,0,0,0,50.0,1,0,0.0,0,0,0,0,6.7,2,30,1,25.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Avonte Maddox,50543,CB,PHI,1,0,24,0,1,0,0,1,0,100.0,2,1,25.0,0,0,0,0,5.4,2,37,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Desmond King II,11906,CB,HST,1,0,13,1,0,0,1,0,0,50.0,1,1,50.0,0,0,0,0,4.4,2,45,1,25.0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0,0
Alex Singleton,9994,LB,DEN,1,0,10,0,1,0,0,0,0,50.0,1,0,0.0,0,0,0,0,6.7,2,30,1,25.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Bryce Callahan,10000,CB,LAC,1,0,27,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,5.6,2,36,1,25.0,0,1,0,0,100.0,2,1,25.0,0,0,0,0,0,0
Marcus Williams,11797,S,BLT,1,0,3,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,3.2,2,62,1,25.0,0,0,1,0,100.0,2,1,25.0,0,0,0,0,0,0
Kendall Fuller,10718,CB,WAS,1,0,32,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,4.4,2,45,1,25.0,0,0,1,0,100.0,2,1,25.0,0,0,0,0,0,0
Samson Ebukam,11880,ED,SF,1,0,28,0,3,0,0,0,0,27.3,3,0,0.0,0,0,0,1,100.0,11,11,4,22.7,0,0,3,1,72.7,8,4,31.3,1,1,0,1,1,0
Devin White,43089,LB,TB,1,0,30,0,1,0,0,1,0,75.0,6,1,8.3,0,0,0,0,26.1,12,46,3,20.8,0,0,0,0,25.0,2,0,0.0,0,0,0,2,2,0
Tommy Togiai,82501,DI,CLV,1,0,8,0,0,0,0,0,0,60.0,3,1,33.3,1,1,0,0,100.0,5,5,1,20.0,0,0,0,0,40.0,2,0,0.0,0,0,0,1,1,0
Bobby Wagner,7050,LB,LA,1,0,26,0,0,0,0,0,0,60.0,3,1,33.3,1,1,0,0,13.2,5,38,1,20.0,0,0,0,0,40.0,2,0,0.0,0,0,0,1,1,0
E.J. Speed,94351,LB,IND,1,0,14,0,0,0,0,0,0,40.0,2,0,0.0,0,0,0,0,26.3,5,19,1,20.0,0,0,0,0,60.0,3,1,33.3,1,1,0,1,1,0
Akeem Davis-Gaither,34788,LB,CIN,1,0,7,0,2,0,0,0,0,20.0,1,0,0.0,0,0,0,0,62.5,5,8,2,20.0,0,0,2,0,80.0,4,2,25.0,0,0,0,0,0,0
Patrick Queen,57941,LB,BLT,1,0,3,1,1,0,0,0,0,30.0,3,1,33.3,1,1,0,0,17.7,11,62,3,18.2,0,1,1,0,70.0,7,2,14.3,0,0,0,1,1,0
Dominique Robinson,61436,ED,CHI,1,0,6,0,1,0,0,0,0,50.0,7,1,14.3,1,2,1,0,100.0,14,14,3,17.9,0,0,1,0,50.0,7,2,21.4,1,1,0,2,3,1
Mykal Walker,57834,LB,ATL,1,0,2,0,1,0,0,1,0,66.7,6,1,8.3,0,1,1,0,23.7,9,38,2,16.7,0,0,0,0,33.3,3,1,33.3,1,1,0,1,2,1
Rayshawn Jenkins,11868,S,JAX,1,0,15,1,0,0,1,0,0,50.0,1,1,50.0,0,0,0,0,6.7,3,45,1,16.7,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0,0
Mike Hughes,34057,CB,DET,1,0,11,2,0,0,2,0,0,66.7,4,2,25.0,0,0,0,0,18.8,6,32,2,16.7,0,0,0,0,33.3,2,0,0.0,0,0,0,0,0,0
Ernest Jones,81399,LB,LA,1,0,26,0,1,0,0,1,0,66.7,2,1,25.0,0,0,0,0,12.5,3,24,1,16.7,0,0,0,0,33.3,1,0,0.0,0,0,0,0,0,0
Kyle Dugger,90621,S,NE,1,0,19,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,9.4,3,32,1,16.7,0,0,1,0,100.0,3,1,16.7,0,0,0,0,0,0
C.J. Mosley,8652,LB,NYJ,1,0,22,0,1,0,0,0,0,33.3,1,0,0.0,0,0,0,0,8.8,3,34,1,16.7,0,0,1,0,66.7,2,1,25.0,0,0,0,0,0,0
Trevis Gipson,35241,ED,CHI,1,0,6,1,3,0,1,2,0,66.7,8,3,18.8,0,0,0,0,92.3,12,13,4,16.7,0,0,1,0,33.3,4,1,12.5,0,0,1,0,0,1
Myles Jack,10670,LB,PIT,1,0,25,0,1,0,0,1,0,33.3,1,1,50.0,0,0,0,0,5.5,3,55,1,16.7,0,0,0,0,66.7,2,0,0.0,0,0,0,0,0,0
Tomon Fox,42486,ED,NYG,1,0,21,0,0,0,0,0,0,66.7,4,1,25.0,1,1,0,0,60.0,6,10,1,16.7,0,0,0,0,33.3,2,0,0.0,0,0,0,1,1,0
Dee Alford,110542,CB,ATL,1,0,2,0,1,0,0,0,0,66.7,2,0,0.0,0,0,0,0,16.7,3,18,1,16.7,0,0,1,0,33.3,1,1,50.0,0,0,0,0,0,0
Jace Whittaker,50465,CB,ARZ,1,0,1,0,1,0,0,0,0,33.3,1,0,0.0,0,0,0,0,37.5,3,8,1,16.7,0,0,1,0,66.7,2,1,25.0,0,0,0,0,0,0
Jordan Phillips,9485,DI,BUF,1,0,4,1,3,0,0,2,1,56.0,14,2,7.1,0,0,0,1,96.2,25,26,6,16.0,0,1,1,0,44.0,11,4,27.3,2,2,0,2,2,0
