player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards,week,year
Tommy Townsend,33007,P,KC,1,6,6,4.56,42.0,47.17,5.5,0,0,1,2,16,63.7,2,53,0,0,33.3,11,2,6,27.36,252,1,283,9,2022
Jake Bailey,33963,P,NE,1,7,7,4.07,34.43,38.71,7.5,0,0,0,0,19,45.7,1,58,3,0,57.1,30,4,7,28.47,241,0,271,9,2022
Jack Fox,34735,P,DET,1,3,3,4.49,42.0,45.33,10.0,0,0,1,1,11,60.7,1,47,0,0,33.3,10,1,3,13.48,126,0,136,9,2022
Michael Dickson,35381,P,SEA,1,3,3,5.08,51.0,53.33,3.5,0,0,1,0,29,71.2,2,55,0,0,66.7,7,2,3,15.24,153,0,160,9,2022
A.J. Cole III,36038,P,LV,1,4,4,4.61,45.0,49.0,8.0,0,0,0,1,23,74.4,3,60,1,0,50.0,16,2,4,18.43,180,0,196,9,2022
J.K. Scott,38809,P,LAC,1,4,4,4.36,42.0,42.0,,0,0,0,3,27,56.5,2,48,1,0,0.0,0,0,4,17.44,168,0,168,9,2022
Braden Mann,44664,P,NYJ,1,3,3,4.46,43.0,49.0,18.0,0,0,0,2,22,64.3,2,63,0,0,33.3,18,1,3,13.38,129,0,147,9,2022
Blake Gillikin,45045,P,NO,1,5,5,4.32,46.4,46.4,,0,0,1,3,20,60.9,2,53,1,0,0.0,0,0,5,21.59,232,0,232,9,2022
Ryan Stonehouse,52045,P,TEN,1,8,8,4.25,41.38,48.75,11.8,0,0,1,2,31,57.8,2,63,0,0,62.5,59,5,8,33.97,331,0,390,9,2022
Jordan Stout,57649,P,BLT,1,4,4,4.54,46.25,48.25,8.0,0,0,1,2,3,61.3,2,67,0,0,25.0,8,1,4,18.16,185,0,193,9,2022
Trenton Gill,60295,P,CHI,1,2,2,3.34,37.5,41.5,8.0,1,0,0,1,6,54.4,0,46,0,0,50.0,8,1,3,6.67,75,0,83,9,2022
Ryan Wright,77591,P,MIN,1,6,6,4.38,44.83,51.67,8.2,0,0,0,1,18,62.4,2,61,0,0,83.3,41,5,6,26.28,269,0,310,9,2022
Arryn Siposs,82019,P,PHI,1,3,3,4.34,50.33,49.67,-2.0,0,0,0,2,24,60.1,1,52,0,0,33.3,-2,1,3,13.03,151,0,149,9,2022
