p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play,week,year,plyr_number
roberthunt_mia_2022_11,mia_2022_11,roberthunt_mia_2022,mia_2022,roberthunt,46139,g,mia,1,0,17,61.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
connorwilliams_mia_2022_11,mia_2022_11,connorwilliams_mia_2022,mia_2022,connorwilliams,46216,ol,mia,1,0,17,47.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
tylerbiadasz_dal_2022_11,dal_2022_11,tylerbiadasz_dal_2022,dal_2022,tylerbiadasz,41178,ol,dal,1,0,9,60.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
terencesteele_dal_2022_11,dal_2022_11,terencesteele_dal_2022,dal_2022,terencesteele,39461,t,dal,1,0,9,76.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
colekmet_chi_2022_11,chi_2022_11,colekmet_chi_2022,chi_2022,colekmet,60995,te,chi,1,0,6,59.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
robertjones_mia_2022_11,mia_2022_11,robertjones_mia_2022,mia_2022,robertjones,100786,g,mia,1,0,17,74.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
cadeotton_tb_2022_11,tb_2022_11,cadeotton_tb_2022,tb_2022,cadeotton,61071,te,tb,1,0,30,65.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
johnbates_was_2022_11,was_2022_11,johnbates_was_2022,was_2022,johnbates,42275,te,was,1,0,32,61.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
tommytremble_car_2022_11,car_2022_11,tommytremble_car_2022,car_2022,tommytremble,84025,te,car,1,0,5,58.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
loganthomas_was_2022_11,was_2022_11,loganthomas_was_2022,was_2022,loganthomas,8755,te,was,1,0,32,52.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
ryankelly_ind_2022_11,ind_2022_11,ryankelly_ind_2022,ind_2022,ryankelly,10652,ol,ind,1,0,14,61.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
quentonnelson_ind_2022_11,ind_2022_11,quentonnelson_ind_2022,ind_2022,quentonnelson,12954,g,ind,1,0,14,68.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
bernhardraimann_ind_2022_11,ind_2022_11,bernhardraimann_ind_2022,ind_2022,bernhardraimann,77948,t,ind,1,0,14,61.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
willfries_ind_2022_11,ind_2022_11,willfries_ind_2022,ind_2022,willfries,41530,g,ind,1,0,14,89.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
bradensmith_ind_2022_11,ind_2022_11,bradensmith_ind_2022,ind_2022,bradensmith,46794,t,ind,1,0,14,69.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
evanbrown_det_2022_11,det_2022_11,evanbrown_det_2022,det_2022,evanbrown,38709,g,det,1,0,11,42.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jonahjackson_det_2022_11,det_2022_11,jonahjackson_det_2022,det_2022,jonahjackson,37070,g,det,1,0,11,68.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
taylordecker_det_2022_11,det_2022_11,taylordecker_det_2022,det_2022,taylordecker,10650,t,det,1,0,11,51.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
peneisewell_det_2022_11,det_2022_11,peneisewell_det_2022,det_2022,peneisewell,81788,t,det,1,0,11,67.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
frankragnow_det_2022_11,det_2022_11,frankragnow_det_2022,det_2022,frankragnow,39137,ol,det,1,0,11,68.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
zachgentry_pit_2022_11,pit_2022_11,zachgentry_pit_2022,pit_2022,zachgentry,36049,te,pit,1,0,25,37.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
spencerburford_sf_2022_11,sf_2022_11,spencerburford_sf_2022,sf_2022,spencerburford,81920,g,sf,1,0,28,53.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
