p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures,week,year,plyr_number
dawuanesmoot_jax_2022_11,jax_2022_11,dawuanesmoot_jax_2022,jax_2022,dawuanesmoot,11823,ed,jax,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jordanwillis_sf_2022_11,sf_2022_11,jordanwillis_sf_2022,sf_2022,jordanwillis,11828,ed,sf,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
chriswormley_pit_2022_11,pit_2022_11,chriswormley_pit_2022,pit_2022,chriswormley,11829,di,pit,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
alexanzalone_det_2022_11,det_2022_11,alexanzalone_det_2022,det_2022,alexanzalone,11831,lb,det,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
tarellbasham_dal_2022_11,dal_2022_11,tarellbasham_dal_2022,dal_2022,tarellbasham,11835,ed,dal,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
montraviusadams_pit_2022_11,pit_2022_11,montraviusadams_pit_2022,pit_2022,montraviusadams,11848,di,pit,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jaleeljohnson_hou_2022_11,hou_2022_11,jaleeljohnson_hou_2022,hou_2022,jaleeljohnson,11864,di,hou,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
carloswatkins_dal_2022_11,dal_2022_11,carloswatkins_dal_2022,dal_2022,carloswatkins,11897,di,dal,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
groverstewart_ind_2022_11,ind_2022_11,groverstewart_ind_2022,ind_2022,groverstewart,11899,di,ind,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jayonbrown_lv_2022_11,lv_2022_11,jayonbrown_lv_2022,lv_2022,jayonbrown,11910,lb,lv,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
mattmilano_buf_2022_11,buf_2022_11,mattmilano_buf_2022,buf_2022,mattmilano,11918,lb,buf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
xavierwoods_car_2022_11,car_2022_11,xavierwoods_car_2022,car_2022,xavierwoods,11946,s,car,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
djjones_den_2022_11,den_2022_11,djjones_den_2022,den_2022,djjones,11953,di,den,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
