p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,week,year,plyr_number
aaronjones_gb_2022_11,gb_2022_11,aaronjones_gb_2022,gb_2022,aaronjones,11937,hb,gb,1,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
tonypollard_dal_2022_11,dal_2022_11,tonypollard_dal_2022,dal_2022,tonypollard,27126,hb,dal,1,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
rachaadwhite_tb_2022_11,tb_2022_11,rachaadwhite_tb_2022,tb_2022,rachaadwhite,131633,hb,tb,1,22,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jonathantaylor_ind_2022_11,ind_2022_11,jonathantaylor_ind_2022,ind_2022,jonathantaylor,57488,hb,ind,1,22,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jamesconner_ari_2022_11,ari_2022_11,jamesconner_ari_2022,ari_2022,jamesconner,11860,hb,ari,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
joshjacobs_lv_2022_11,lv_2022_11,joshjacobs_lv_2022,lv_2022,joshjacobs,45953,hb,lv,1,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
najeeharris_pit_2022_11,pit_2022_11,najeeharris_pit_2022,pit_2022,najeeharris,57121,hb,pit,1,20,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
derrickhenry_ten_2022_11,ten_2022_11,derrickhenry_ten_2022,ten_2022,derrickhenry,10679,hb,ten,1,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
elijahmitchell_sf_2022_11,sf_2022_11,elijahmitchell_sf_2022,sf_2022,elijahmitchell,57272,hb,sf,1,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jeffwilsonjr_mia_2022_11,mia_2022_11,jeffwilsonjr_mia_2022,mia_2022,jeffwilsonjr,29413,hb,mia,1,17,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
dameonpierce_hou_2022_11,hou_2022_11,dameonpierce_hou_2022,hou_2022,dameonpierce,83659,hb,hou,1,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
isiahpacheco_kc_2022_11,kc_2022_11,isiahpacheco_kc_2022,kc_2022,isiahpacheco,83747,hb,kc,1,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jamaalwilliams_det_2022_11,det_2022_11,jamaalwilliams_det_2022,det_2022,jamaalwilliams,11889,hb,det,1,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
dalvincook_min_2022_11,min_2022_11,dalvincook_min_2022,min_2022,dalvincook,11796,hb,min,1,14,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
