unique_id,player_id,value,player_name,match_name,score
ibraheimcampbell_cle_2017_15,ibraheimcampbell_cle_2017,1,ibraheimcampbell_cle_2017,ibraheimcampbell_cle_2017,100.0
jamiecollins_cle_2017_15,jamiecollins_cle_2017,1,jamiecollins_cle_2017,jamiecollinssr_cle_2017,95.0
dariushillary_cle_2017_15,dariushillary_cle_2017,1,dariushillary_cle_2017,dariushillary_cle_2017,100.0
jordanleslie_cle_2017_15,jordanleslie_cle_2017,1,jordanleslie_cle_2017,jordanleslie_cle_2017,100.0
jamiemeder_cle_2017_15,jamiemeder_cle_2017,1,jamiemeder_cle_2017,jamiemeder_cle_2017,100.0
emmanuelogbah_cle_2017_15,emmanuelogbah_cle_2017,1,emmanuelogbah_cle_2017,emmanuelogbah_cle_2017,100.0
reggieporter_cle_2017_15,reggieporter_cle_2017,1,reggieporter_cle_2017,reggieporter_cle_2017,100.0
joethomas_cle_2017_15,joethomas_cle_2017,1,joethomas_cle_2017,joethomas_cle_2017,100.0
jamesburgess_cle_2018_15,jamesburgess_cle_2018,1,jamesburgess_cle_2018,jamesburgess_cle_2018,100.0
orsoncharles_cle_2018_15,orsoncharles_cle_2018,1,orsoncharles_cle_2018,orsoncharles_cle_2018,100.0
austincorbett_cle_2018_15,austincorbett_cle_2018,1,austincorbett_cle_2018,austincorbett_cle_2018,100.0
ejgaines_cle_2018_15,ejgaines_cle_2018,1,ejgaines_cle_2018,ejgaines_cle_2018,100.0
phillipgaines_cle_2018_15,phillipgaines_cle_2018,1,phillipgaines_cle_2018,phillipgaines_cle_2018,100.0
joshgordon_cle_2018_15,joshgordon_cle_2018,1,joshgordon_cle_2018,joshgordon_cle_2018,100.0
christiankirksey_cle_2018_15,christiankirksey_cle_2018,1,christiankirksey_cle_2018,christiankirksey_cle_2018,100.0
ricardolouis_cle_2018_15,ricardolouis_cle_2018,1,ricardolouis_cle_2018,ricardolouis_cle_2018,100.0
rodstreater_cle_2018_15,rodstreater_cle_2018,1,rodstreater_cle_2018,rodstreater_cle_2018,100.0
chadthomas_cle_2018_15,chadthomas_cle_2018,1,chadthomas_cle_2018,chadthomas_cle_2018,100.0
denzelward_cle_2018_15,denzelward_cle_2018,1,denzelward_cle_2018,denzelward_cle_2018,100.0
marquezwilliams_cle_2018_15,marquezwilliams_cle_2018,1,marquezwilliams_cle_2018,marquezwilliams_cle_2018,100.0
derrickwillies_cle_2018_15,derrickwillies_cle_2018,1,derrickwillies_cle_2018,derrickwillies_cle_2018,100.0
morganburnett_cle_2019_15,morganburnett_cle_2019,1,morganburnett_cle_2019,morganburnett_cle_2019,100.0
